by definition|정의에 따르면
brush off|~을 중요하게 여기지 않다, 무시하다
dismiss|일축하다, 해고하다
deliver|전달하다
appearance|모습, 외모
extraordinary|특이한, 놀라운, 비범한
trivial|사소한
commit ~ to memory|~을 기억하다
massive|거대한, 육중한
joke-manufacturing industry|농담 제조 산업
gag-smith|개그를 만드는 사람
journalist|언론인
asset|자산
admit|인정하다
originate|유래하다, 기원하다
studio|영화사
loosely|느슨하게, 막연히
episode|에피소드(1회 방송분)
manufacture|제작하다, 제조하다
budget|예산
ambition|야망, 열망
continuation|연속, 계속
box office hit|흥행작
screen adaption|(소설 등의) 영화화
strategic|전략적인
managerial|경영의
financial|재정적인
inferior|열등한
commercially|상업적으로
decade|10년
family brand|패밀리 브랜드(한 기업에서 생산되는 유사 제품군이나 전체 품목에 동일하게 부여하는 브랜드)
numerous|수많은, 무수한
attach|붙이다, 추가하다
outdated|구식인
unit|장치
handy|유용한, 편리한
catastrophic|비극적인, 참사의
plumbing|배관 (공사)
burst|터지다, 파열하다
plumber|배관공
be in the way|길을 막다, 방해되다
attic|다락방
freeze|얼다
psychologist|심리학자
motivated|동기가 부여된
reasoning|추론
bounce back from|~에서 회복하다
blame ~ on|~을 …의 탓으로 돌리다
string|연속, 줄, 일련
rejection|거절
slam|쾅 닫다
awful|끔찍한, 형편없는
superior|더 나은, 더 우세한
screw up|~을 망치다
improve|나아지다, 향상하다, 개선하다
setback|좌절, 차질
physician|의사, 내과 의사
context|상황, 맥락
overall|전반적인
intention|의도
scale|척도, 눈금
relative to|~과 관련하여, ~에 비례하여
of significance|중요한
inform|영향을 미치다, 알려 주다
content|내용
coherently|일관성 있게
diminished|줄어든, 감소된
consciousness|자각, 의식
immediate|즉각적인
cue|단서
insertion|개입, 삽입
make sense|이치에 맞다, 타당하다
irrelevant|무관한
affair|일, 용건, 업무
ingenious|기발한, 독창적인
admirable|감탄할 만한, 훌륭한
carry out|~을 실행하다, 수행하다
Hero|그리스의 수학자이자 발명가(흔히 Hero of Alexandria로 불림)
jet action|분사[분출] 작용
curiosity|진귀한 것, 호기심
transportation|수송, 교통
warfare|전쟁, 교전
ether|에테르(용매나 마취제로 쓰이는 알코올 추출물)
surgery|(외과) 수술
publish|발표하다, 출판하다
subsequent|이후의, 이어지는
on a large scale|대규모로
propose|제안하다
for no particular reason|특별한 이유 없이
tear ~ down|~을 허물다
confident|확신하는
long-standing|오래된
custom|관습
institution|제도, 기관
naive|(경험이 없어) 순진해 빠진, 천진난만한
reformer|개혁가
clear ~ away|~을 치우다
thoughtful|사려 깊은
at arm's length|어느 정도의 거리를 두고 있는
evaluate|평가하다
experiment|실험
claim|주장
domain|분야, 영역
far from|결코 ~이 아닌
foolproof|실패할 염려가 없는, 아주 확실한
finding|연구 결과
overturn|뒤집다
rely on|~을 신뢰하다
foundation|토대
conclusion|결론
go through|~을 거치다
rigorous|엄격한
tabloid|타블로이드 신문(흥미 위주의 짤막한 기사에 유명인의 사진을 크게 싣는 것이 특징)
low-income|저소득의
productivity|생산성
surplus|잉여(의)
income|소득
tax|세금을 부과하다
expand|확장하다
facility|시설
electricity grid|전력망
strain|무리하게 쓰다
bind|힘든 상황, 곤경
fertility|출산율
thrive|번창하다
subject|대상, 주제
champion|옹호자, 챔피언
preach|설파하다
defender|(주의·사상 등의) 옹호자
profession|공언, 표명
mask|가리다
psychic|정신적인, 심령적인
dissatisfaction|불만족
prompt|유도하다
commodity|상품
expand|확장되다
scarcity|부족, 결핍
just around the corner|코앞에 있는
legitimate|합당한
excuse|변명
take action|행동을 취하다
face up to|을 직시하다
eliminate|없애다
function|행동하다, 기능하다
scheme|계획
implement|실행[시행]하다
extend beyond| 너머까지 미치다
delay|미루다
tolerate|참다, 용납하다
